#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59129152,44.09562273,Stevens East,Stevens East-Corn,A,41,4.327,5.000,202.32,115,11555,16.66,10/12/2015 4:45:18 PM,0.211
-97.59127249,44.09562245,Stevens East,Stevens East-Corn,A,42,4.327,5.000,202.32,116,11555,16.66,10/12/2015 4:45:18 PM,0.211
-97.59136761,44.09563676,Stevens East,Stevens East-Corn,A,43,4.721,5.000,186.51,111,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59134858,44.09563650,Stevens East,Stevens East-Corn,A,44,4.721,5.000,186.51,112,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59132954,44.09563625,Stevens East,Stevens East-Corn,A,45,4.721,5.000,186.51,113,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59131051,44.09563599,Stevens East,Stevens East-Corn,A,46,4.721,5.000,186.51,114,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59129148,44.09563573,Stevens East,Stevens East-Corn,A,47,4.721,5.000,186.51,115,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59127244,44.09563548,Stevens East,Stevens East-Corn,A,48,4.721,5.000,186.51,116,10652,16.66,10/12/2015 4:45:19 PM,0.091
-97.59136811,44.09564910,Stevens East,Stevens East-Corn,A,49,4.590,5.000,222.74,111,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59134908,44.09564896,Stevens East,Stevens East-Corn,A,50,4.590,5.000,222.74,112,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59133004,44.09564881,Stevens East,Stevens East-Corn,A,51,4.590,5.000,222.74,113,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59131101,44.09564867,Stevens East,Stevens East-Corn,A,52,4.590,5.000,222.74,114,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59129197,44.09564853,Stevens East,Stevens East-Corn,A,53,4.590,5.000,222.74,115,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59127294,44.09564839,Stevens East,Stevens East-Corn,A,54,4.590,5.000,222.74,116,12721,16.66,10/12/2015 4:45:19 PM,359.61
-97.59136900,44.09566225,Stevens East,Stevens East-Corn,A,55,5.049,5.000,172.62,111,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59134996,44.09566238,Stevens East,Stevens East-Corn,A,56,5.049,5.000,172.62,112,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59133093,44.09566251,Stevens East,Stevens East-Corn,A,57,5.049,5.000,172.62,113,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59131189,44.09566264,Stevens East,Stevens East-Corn,A,58,5.049,5.000,172.62,114,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59129286,44.09566277,Stevens East,Stevens East-Corn,A,59,5.049,5.000,172.62,115,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59127382,44.09566291,Stevens East,Stevens East-Corn,A,60,5.049,5.000,172.62,116,9858.7,16.66,10/12/2015 4:45:21 PM,358.47
-97.59136916,44.09567600,Stevens East,Stevens East-Corn,A,61,4.951,5.000,165.97,111,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59135013,44.09567606,Stevens East,Stevens East-Corn,A,62,4.951,5.000,165.97,112,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59133109,44.09567612,Stevens East,Stevens East-Corn,A,63,4.951,5.000,165.97,113,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59131205,44.09567618,Stevens East,Stevens East-Corn,A,64,4.951,5.000,165.97,114,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59129302,44.09567624,Stevens East,Stevens East-Corn,A,65,4.951,5.000,165.97,115,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59127398,44.09567630,Stevens East,Stevens East-Corn,A,66,4.951,5.000,165.97,116,9479.2,16.66,10/12/2015 4:45:22 PM,358.77
-97.59136950,44.09568823,Stevens East,Stevens East-Corn,A,67,4.524,5.000,208.88,111,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59135046,44.09568835,Stevens East,Stevens East-Corn,A,68,4.524,5.000,208.88,112,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59133143,44.09568848,Stevens East,Stevens East-Corn,A,69,4.524,5.000,208.88,113,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59131239,44.09568861,Stevens East,Stevens East-Corn,A,70,4.524,5.000,208.88,114,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59129336,44.09568873,Stevens East,Stevens East-Corn,A,71,4.524,5.000,208.88,115,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59127432,44.09568886,Stevens East,Stevens East-Corn,A,72,4.524,5.000,208.88,116,11930,16.66,10/12/2015 4:45:22 PM,358.49
-97.59136972,44.09570082,Stevens East,Stevens East-Corn,A,73,4.557,5.000,223.12,111,12743,16.66,10/12/2015 4:45:24 PM,358.62
-97.59135069,44.09570091,Stevens East,Stevens East-Corn,A,74,4.557,5.000,223.12,112,12743,16.66,10/12/2015 4:45:24 PM,358.62
-97.59133165,44.09570101,Stevens East,Stevens East-Corn,A,75,4.557,5.000,223.12,113,12743,16.66,10/12/2015 4:45:24 PM,358.62
-97.59131262,44.09570110,Stevens East,Stevens East-Corn,A,76,4.557,5.000,223.12,114,12743,16.66,10/12/2015 4:45:24 PM,358.62
