#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Obj. Id,Yld Mass(Wet)(lb/ac),Moisture(%),Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,ObjId,YldMass,Moisture,Hding
-97.59134861,44.09562359,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,38,4.327,5.000,202.32,38,11555,16.66,0.211
-97.59132958,44.09562330,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,39,4.327,5.000,202.32,39,11555,16.66,0.211
-97.59131055,44.09562302,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,40,4.327,5.000,202.32,40,11555,16.66,0.211
-97.59129152,44.09562273,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,41,4.327,5.000,202.32,41,11555,16.66,0.211
-97.59127249,44.09562245,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,42,4.327,5.000,202.32,42,11555,16.66,0.211
-97.59136761,44.09563676,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,43,4.721,5.000,186.51,43,10652,16.66,0.091
-97.59134858,44.09563650,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,44,4.721,5.000,186.51,44,10652,16.66,0.091
-97.59132954,44.09563625,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,45,4.721,5.000,186.51,45,10652,16.66,0.091
-97.59131051,44.09563599,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,46,4.721,5.000,186.51,46,10652,16.66,0.091
-97.59129148,44.09563573,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,47,4.721,5.000,186.51,47,10652,16.66,0.091
-97.59127244,44.09563548,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,48,4.721,5.000,186.51,48,10652,16.66,0.091
-97.59136811,44.09564910,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,49,4.590,5.000,222.74,49,12721,16.66,359.61
-97.59134908,44.09564896,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,50,4.590,5.000,222.74,50,12721,16.66,359.61
-97.59133004,44.09564881,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,51,4.590,5.000,222.74,51,12721,16.66,359.61
-97.59131101,44.09564867,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,52,4.590,5.000,222.74,52,12721,16.66,359.61
-97.59129197,44.09564853,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,53,4.590,5.000,222.74,53,12721,16.66,359.61
-97.59127294,44.09564839,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,54,4.590,5.000,222.74,54,12721,16.66,359.61
-97.59136900,44.09566225,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,55,5.049,5.000,172.62,55,9858.7,16.66,358.47
-97.59134996,44.09566238,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,56,5.049,5.000,172.62,56,9858.7,16.66,358.47
-97.59133093,44.09566251,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,57,5.049,5.000,172.62,57,9858.7,16.66,358.47
-97.59131189,44.09566264,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,58,5.049,5.000,172.62,58,9858.7,16.66,358.47
-97.59129286,44.09566277,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,59,5.049,5.000,172.62,59,9858.7,16.66,358.47
-97.59127382,44.09566291,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,60,5.049,5.000,172.62,60,9858.7,16.66,358.47
-97.59136916,44.09567600,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,61,4.951,5.000,165.97,61,9479.2,16.66,358.77
-97.59135013,44.09567606,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,62,4.951,5.000,165.97,62,9479.2,16.66,358.77
-97.59133109,44.09567612,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,63,4.951,5.000,165.97,63,9479.2,16.66,358.77
-97.59131205,44.09567618,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,64,4.951,5.000,165.97,64,9479.2,16.66,358.77
-97.59129302,44.09567624,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,65,4.951,5.000,165.97,65,9479.2,16.66,358.77
-97.59127398,44.09567630,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,66,4.951,5.000,165.97,66,9479.2,16.66,358.77
-97.59136950,44.09568823,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,67,4.524,5.000,208.88,67,11930,16.66,358.49
-97.59135046,44.09568835,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,68,4.524,5.000,208.88,68,11930,16.66,358.49
-97.59133143,44.09568848,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,69,4.524,5.000,208.88,69,11930,16.66,358.49
-97.59131239,44.09568861,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,70,4.524,5.000,208.88,70,11930,16.66,358.49
-97.59129336,44.09568873,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,71,4.524,5.000,208.88,71,11930,16.66,358.49
-97.59127432,44.09568886,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,72,4.524,5.000,208.88,72,11930,16.66,358.49
-97.59136972,44.09570082,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,73,4.557,5.000,223.12,73,12743,16.66,358.62
-97.59135069,44.09570091,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,74,4.557,5.000,223.12,74,12743,16.66,358.62
-97.59133165,44.09570101,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,75,4.557,5.000,223.12,75,12743,16.66,358.62
-97.59131262,44.09570110,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,76,4.557,5.000,223.12,76,12743,16.66,358.62
-97.59129358,44.09570120,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,77,4.557,5.000,223.12,77,12743,16.66,358.62
-97.59127454,44.09570130,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,78,4.557,5.000,223.12,78,12743,16.66,358.62
-97.59137031,44.09571327,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,79,4.590,5.000,226.75,79,12777,15.53,358.41
-97.59135128,44.09571341,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,80,4.590,5.000,226.75,80,12777,15.53,358.41
-97.59133224,44.09571356,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,81,4.590,5.000,226.75,81,12777,15.53,358.41
-97.59131321,44.09571370,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,82,4.590,5.000,226.75,82,12777,15.53,358.41
-97.59129417,44.09571385,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,83,4.590,5.000,226.75,83,12777,15.53,358.41
-97.59127514,44.09571400,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,84,4.590,5.000,226.75,84,12777,15.53,358.41
-97.59137057,44.09572647,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,85,4.721,5.000,176.05,85,9920.1,15.53,358.84
-97.59135153,44.09572652,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,86,4.721,5.000,176.05,86,9920.1,15.53,358.84
-97.59133249,44.09572656,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,87,4.721,5.000,176.05,87,9920.1,15.53,358.84
-97.59131346,44.09572660,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,88,4.721,5.000,176.05,88,9920.1,15.53,358.84
-97.59129442,44.09572665,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,89,4.721,5.000,176.05,89,9920.1,15.53,358.84
-97.59127538,44.09572669,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,90,4.721,5.000,176.05,90,9920.1,15.53,358.84
-97.59137016,44.09574047,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,91,4.951,5.000,158.78,91,8946.9,15.53,359.52
-97.59135112,44.09574035,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,92,4.951,5.000,158.78,92,8946.9,15.53,359.52
-97.59133209,44.09574023,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,93,4.951,5.000,158.78,93,8946.9,15.53,359.52
-97.59131305,44.09574011,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,94,4.951,5.000,158.78,94,8946.9,15.53,359.52
-97.59129402,44.09573999,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,95,4.951,5.000,158.78,95,8946.9,15.53,359.52
-97.59127498,44.09573987,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,96,4.951,5.000,158.78,96,8946.9,15.53,359.52
-97.59136956,44.09575553,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,97,5.312,5.000,150.38,97,8473.6,15.53,0.344
-97.59135053,44.09575522,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,98,5.312,5.000,150.38,98,8473.6,15.53,0.344
-97.59133149,44.09575490,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,99,5.312,5.000,150.38,99,8473.6,15.53,0.344
-97.59131246,44.09575458,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,100,5.312,5.000,150.38,100,8473.6,15.53,0.344
-97.59129343,44.09575426,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,101,5.312,5.000,150.38,101,8473.6,15.53,0.344
-97.59127440,44.09575395,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,102,5.312,5.000,150.38,102,8473.6,15.53,0.344
-97.59136910,44.09577033,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,103,5.312,5.000,143.16,103,8066.8,15.53,0.704
-97.59135008,44.09576992,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,104,5.312,5.000,143.16,104,8066.8,15.53,0.704
-97.59133105,44.09576952,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,105,5.312,5.000,143.16,105,8066.8,15.53,0.704
-97.59131202,44.09576912,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,106,5.312,5.000,143.16,106,8066.8,15.53,0.704
-97.59129299,44.09576871,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,107,5.312,5.000,143.16,107,8066.8,15.53,0.704
-97.59127396,44.09576831,Stevens East,Dave Claussen-Stevens-cash-Stevens East-Corn.shp,NO Product,108,5.312,5.000,143.16,108,8066.8,15.53,0.704
