X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Block,Sample,Balanced,Rectangle,Square
-97.5999006615125,44.0922786193503,"1",-97.5999006615125,44.0922786193503,10/19/2019 7:12:37 PM,28.33844372,"0","0","0","0","0"
-97.5962832859054,44.0895337366457,"2",-97.5962832859054,44.0895337366457,10/19/2019 10:21:57 PM,39.300079,"1","4","0","0","0"
-97.5923828829132,44.0905695376497,"3",-97.5923828829132,44.0905695376497,10/19/2019 9:39:06 PM,52.10487413,"0","0","0","0","0"
-97.5956139396715,44.0948726829181,"4",-97.5956139396715,44.0948726829181,10/20/2019 12:25:22 AM,0,"0","0","0","0","0"
-97.5992605019062,44.0942607546466,"5",-97.5992605019062,44.0942607546466,10/19/2019 8:59:07 PM,39.9438536,"0","0","0","0","0"
-97.5980047139063,44.0902314106458,"6",-97.5980047139063,44.0902314106458,10/19/2019 9:21:57 PM,45.1204237,"0","0","0","0","0"
-97.6009881915123,44.0939490513505,"7",-97.6009881915123,44.0939490513505,10/19/2019 5:18:24 PM,36.91886595,"0","0","0","0","0"
-97.5931789569054,44.091467454646,"8",-97.5931789569054,44.091467454646,10/20/2019 2:11:22 AM,45.24449051,"7","4","0","0","1"
-97.5992774399059,44.0883104746514,"9",-97.5992774399059,44.0883104746514,10/19/2019 8:03:49 PM,34.26838375,"0","0","0","0","0"
-97.5966712039057,44.0897089606456,"10",-97.5966712039057,44.0897089606456,10/19/2019 10:10:53 PM,45.32107509,"1","1","0","0","0"
-97.5977399189057,44.0901503076458,"11",-97.5977399189057,44.0901503076458,10/19/2019 9:27:28 PM,43.82118061,"0","0","0","0","0"
-97.5962129115106,44.095260757357,"12",-97.5962129115106,44.095260757357,10/19/2019 4:53:43 PM,1.92729315,"0","0","0","0","0"
-97.5946119879053,44.0915739256461,"13",-97.5946119879053,44.0915739256461,10/20/2019 1:06:59 AM,10.09426828,"5","1","0","0","1"
-97.5991158065109,44.095400919357,"14",-97.5991158065109,44.095400919357,10/19/2019 4:44:19 PM,27.67336608,"0","0","0","0","0"
-97.6007779445167,44.0947852643565,"15",-97.6007779445167,44.0947852643565,10/19/2019 5:21:05 PM,43.86314866,"0","0","0","0","0"
-97.5969862009052,44.0947943396469,"16",-97.5969862009052,44.0947943396469,10/19/2019 11:25:20 PM,44.40941094,"0","0","0","0","0"
-97.5943506089053,44.091517710646,"17",-97.5943506089053,44.091517710646,10/20/2019 1:17:09 AM,35.49632684,"5","3","0","0","1"
-97.5921866689045,44.0925311936462,"18",-97.5921866689045,44.0925311936462,10/20/2019 12:42:16 AM,45.65899897,"9","4","0","0","0"
-97.5998229665099,44.0914476573502,"19",-97.5998229665099,44.0914476573502,10/19/2019 7:11:46 PM,18.86525973,"0","0","0","0","0"
-97.5959575985106,44.0950685013569,"20",-97.5959575985106,44.0950685013569,10/19/2019 5:05:12 PM,39.79767123,"0","0","0","0","0"
-97.5966195559137,44.091776269648,"21",-97.5966195559137,44.091776269648,10/19/2019 8:41:58 PM,26.96592815,"1","1","0","0","1"
-97.5948883544258,44.0896657743276,"22",-97.5948883544258,44.0896657743276,10/20/2019 1:38:18 AM,3.33973392,"4","3","0","0","0"
-97.5978772239051,44.0924751576462,"23",-97.5978772239051,44.0924751576462,10/19/2019 11:47:38 PM,7.97976731,"0","0","0","0","0"
-97.6001829515124,44.0938236623506,"24",-97.6001829515124,44.0938236623506,10/19/2019 6:51:29 PM,44.54136154,"0","0","0","0","0"
-97.6002956505121,44.0917537053502,"25",-97.6002956505121,44.0917537053502,10/19/2019 6:42:16 PM,20.30764877,"0","0","0","0","0"
-97.5934299379053,44.0905047296459,"26",-97.5934299379053,44.0905047296459,10/20/2019 2:04:37 AM,16.69078116,"7","2","0","0","1"
-97.5993652559062,44.091975698646,"27",-97.5993652559062,44.091975698646,10/19/2019 8:54:22 PM,43.23025443,"0","0","0","0","0"
-97.5958991369055,44.090205062646,"28",-97.5958991369055,44.090205062646,10/19/2019 10:37:05 PM,45.56450447,"2","3","0","0","0"
-97.5937961329047,44.0895182036489,"29",-97.5937961329047,44.0895182036489,10/20/2019 1:43:59 AM,27.76800338,"0","0","0","0","0"
-97.5963153489051,44.0927724196465,"30",-97.5963153489051,44.0927724196465,10/19/2019 11:12:46 PM,0,"1","4","0","0","1"
-97.5999014635123,44.0924763383504,"31",-97.5999014635123,44.0924763383504,10/19/2019 7:12:49 PM,18.33423452,"0","0","0","0","0"
-97.5970835519056,44.0908719136459,"32",-97.5970835519056,44.0908719136459,10/19/2019 9:58:38 PM,49.18119941,"0","0","0","0","0"
-97.6002117660136,44.0915383705832,"33",-97.6002117660136,44.0915383705832,10/19/2019 6:42:28 PM,0,"0","0","0","0","0"
-97.5999014775123,44.0924926503504,"34",-97.5999014775123,44.0924926503504,10/19/2019 7:12:50 PM,17.15076204,"0","0","0","0","0"
-97.5940985229054,44.0924523646462,"35",-97.5940985229054,44.0924523646462,10/20/2019 1:30:20 AM,28.33549636,"6","1","0","1","1"
-97.5959310619052,44.0933557986466,"36",-97.5959310619052,44.0933557986466,10/19/2019 11:08:37 PM,15.36209434,"2","3","1","1","1"
-97.5944945169126,44.0890083756503,"37",-97.5944945169126,44.0890083756503,10/19/2019 10:57:47 PM,15.46929595,"0","0","0","0","0"
-97.593701813905,44.0916735706462,"38",-97.593701813905,44.0916735706462,10/20/2019 1:51:03 AM,47.55564513,"6","4","0","1","1"
-97.5969878279053,44.0950134806469,"39",-97.5969878279053,44.0950134806469,10/19/2019 11:25:32 PM,7.01139281,"0","0","0","0","0"
-97.6001808745124,44.0936146913506,"40",-97.6001808745124,44.0936146913506,10/19/2019 6:51:17 PM,44.36641811,"0","0","0","0","0"
-97.5969060489142,44.0916683236485,"41",-97.5969060489142,44.0916683236485,10/19/2019 8:38:30 PM,42.28831292,"0","0","0","0","0"
-97.5930495139052,44.0914924096459,"42",-97.5930495139052,44.0914924096459,10/20/2019 2:14:18 AM,48.43005158,"8","1","0","0","1"
-97.5964044479055,44.0887169696455,"43",-97.5964044479055,44.0887169696455,10/19/2019 10:16:16 PM,32.85994961,"1","3","0","0","0"
-97.5939594409052,44.0914052236461,"44",-97.5939594409052,44.0914052236461,10/20/2019 1:34:08 AM,46.30505167,"6","2","0","0","1"
-97.5941020299053,44.0926446636463,"45",-97.5941020299053,44.0926446636463,10/20/2019 1:30:32 AM,40.86771239,"6","1","0","1","1"
-97.5991245289059,44.0941009656466,"46",-97.5991245289059,44.0941009656466,10/19/2019 9:05:52 PM,35.5562856,"0","0","0","0","0"
-97.5969255851971,44.0911434430487,"47",-97.5969255851971,44.0911434430487,10/19/2019 10:04:02 PM,12.18374829,"0","0","0","0","0"
-97.5949191509021,44.0909938946522,"48",-97.5949191509021,44.0909938946522,10/19/2019 10:42:12 PM,0,"4","3","0","0","1"
-97.6019902855122,44.0919624233564,"49",-97.6019902855122,44.0919624233564,10/19/2019 6:07:24 PM,38.08961824,"0","0","0","0","0"
-97.6018772555122,44.0924333153565,"50",-97.6018772555122,44.0924333153565,10/19/2019 5:45:23 PM,36.36282965,"0","0","0","0","0"
-97.5988567609056,44.0933403506465,"51",-97.5988567609056,44.0933403506465,10/20/2019 12:03:27 AM,26.37050973,"0","0","0","0","0"
-97.5994983609059,44.091955313646,"52",-97.5994983609059,44.091955313646,10/19/2019 8:52:53 PM,49.89128431,"0","0","0","0","0"
-97.5931775589055,44.0912619026459,"53",-97.5931775589055,44.0912619026459,10/20/2019 2:11:34 AM,33.95520363,"7","4","0","0","1"
-97.6000552525124,44.09086927935,"54",-97.6000552525124,44.09086927935,10/19/2019 6:48:36 PM,43.49850461,"0","0","0","0","0"
-97.600629683512,44.0916160033563,"55",-97.600629683512,44.0916160033563,10/19/2019 6:25:34 PM,44.13397946,"0","0","0","0","0"
-97.5997187111421,44.0947752006876,"56",-97.5997187111421,44.0947752006876,10/19/2019 7:55:34 PM,0,"0","0","0","0","0"
-97.5965837889053,44.0935800586467,"57",-97.5965837889053,44.0935800586467,10/19/2019 11:17:15 PM,5.89908942,"1","2","0","0","0"
-97.6032942825126,44.0924086063565,"58",-97.6032942825126,44.0924086063565,10/19/2019 5:44:19 PM,13.97915001,"0","0","0","0","0"
-97.6022657435118,44.0919568263564,"59",-97.6022657435118,44.0919568263564,10/19/2019 6:07:36 PM,45.87502508,"0","0","0","0","0"
-97.5992059591283,44.094565911442,"60",-97.5992059591283,44.094565911442,10/19/2019 8:58:47 PM,22.56761063,"0","0","0","0","0"
-97.5978909469053,44.0936704476464,"61",-97.5978909469053,44.0936704476464,10/19/2019 11:46:28 PM,46.05024011,"0","0","0","0","0"
-97.5922034769126,44.0905861076476,"62",-97.5922034769126,44.0905861076476,10/19/2019 9:38:08 PM,61.56656901,"0","0","0","0","0"
-97.598269886906,44.0905983076457,"63",-97.598269886906,44.0905983076457,10/19/2019 8:27:28 PM,47.46738069,"0","0","0","0","0"
-97.5973646639051,44.0935632946465,"64",-97.5973646639051,44.0935632946465,10/19/2019 11:34:14 PM,40.89018406,"0","0","0","0","0"
-97.6006984615124,44.0921610263502,"65",-97.6006984615124,44.0921610263502,10/19/2019 6:30:02 PM,36.37713961,"0","0","0","0","0"
-97.59939052551,44.0945358553568,"66",-97.59939052551,44.0945358553568,10/19/2019 5:24:02 PM,24.51271513,"0","0","0","0","0"
-97.5959329009055,44.0935589356466,"67",-97.5959329009055,44.0935589356466,10/19/2019 11:08:49 PM,0,"2","3","0","0","0"
-97.5942376729054,44.0931968816464,"68",-97.5942376729054,44.0931968816464,10/20/2019 1:23:05 AM,45.12318327,"5","4","1","1","1"
-97.5999249485122,44.0942753183507,"69",-97.5999249485122,44.0942753183507,10/19/2019 7:14:33 PM,4.7538587,"0","0","0","0","0"
-97.5962008269055,44.0944687626468,"70",-97.5962008269055,44.0944687626468,10/19/2019 10:28:38 PM,35.29728985,"2","1","0","0","0"
-97.5943210199112,44.0891877586468,"71",-97.5943210199112,44.0891877586468,10/19/2019 10:57:59 PM,0,"0","0","0","0","0"
-97.5962978539053,44.091070355646,"72",-97.5962978539053,44.091070355646,10/19/2019 10:20:35 PM,40.01540741,"1","4","0","0","1"
-97.5962959891567,44.091911267874,"73",-97.5962959891567,44.091911267874,10/19/2019 10:19:49 PM,49.20575287,"1","4","0","0","1"
-97.5991904819063,44.0894970196455,"74",-97.5991904819063,44.0894970196455,10/19/2019 8:17:46 PM,43.66321193,"0","0","0","0","0"
-97.6009808035145,44.0941330073506,"75",-97.6009808035145,44.0941330073506,10/19/2019 5:18:36 PM,34.64537,"0","0","0","0","0"
-97.5955434849053,44.0936886046464,"76",-97.5955434849053,44.0936886046464,10/20/2019 12:26:29 AM,32.87552156,"0","0","0","0","0"
-97.6005160535064,44.0950927293562,"77",-97.6005160535064,44.0950927293562,10/19/2019 5:08:55 PM,0,"0","0","0","0","0"
-97.5997946805053,44.0947835383519,"78",-97.5997946805053,44.0947835383519,10/19/2019 7:26:33 PM,40.97891171,"0","0","0","0","0"
-97.5926689147985,44.090978408056,"79",-97.5926689147985,44.090978408056,10/20/2019 2:35:07 AM,29.27860355,"8","4","0","0","1"
-97.5990522079138,44.0920518556479,"80",-97.5990522079138,44.0920518556479,10/19/2019 8:35:44 PM,33.21963107,"0","0","0","0","0"
