"smectitic"|"15420648"|"12095105"
"smectitic"|"15420647"|"12095104"
"mixed"|"15420646"|"12095103"
"smectitic"|"15420645"|"12095102"
"smectitic"|"15420639"|"12095096"
"smectitic"|"15420638"|"12095095"
"mixed"|"15420671"|"12095128"
"smectitic"|"15420670"|"12095127"
"smectitic"|"15420669"|"12095126"
"smectitic"|"15420668"|"12095125"
"smectitic"|"15420667"|"12095124"
"smectitic"|"15420666"|"12095123"
"mixed"|"15420665"|"12095122"
"mixed"|"15420664"|"12095121"
"mixed"|"15420663"|"12095120"
"smectitic"|"15420662"|"12095119"
"smectitic"|"15420661"|"12095118"
"smectitic"|"15420660"|"12095117"
"smectitic"|"15420659"|"12095116"
"smectitic"|"15420658"|"12095115"
"mixed"|"15420657"|"12095114"
"mixed"|"15420613"|"12095072"
"mixed"|"15420612"|"12095071"
"mixed"|"15420611"|"12095070"
"montmorillonitic"|"15420610"|"12095069"
"mixed"|"15420609"|"12095068"
"mixed"|"15420592"|"12095051"
"mixed"|"15420591"|"12095050"
"montmorillonitic"|"15420590"|"12095049"
"montmorillonitic"|"15420589"|"12095048"
"smectitic"|"15420690"|"12095147"
"mixed"|"15420689"|"12095146"
"mixed"|"15420688"|"12095145"
"smectitic"|"15420687"|"12095144"
"mixed"|"15420686"|"12095143"
"mixed"|"15420685"|"12095142"
"smectitic"|"15420731"|"12095188"
"smectitic"|"15420730"|"12095187"
"mixed"|"15420729"|"12095186"
"mixed"|"15420728"|"12095185"
"smectitic"|"15420727"|"12095184"
"mixed"|"15420726"|"12095183"
"mixed"|"15420678"|"12095135"
"mixed"|"15420677"|"12095134"
"mixed"|"15420676"|"12095133"
"smectitic"|"15420675"|"12095132"
"smectitic"|"15420674"|"12095131"
"smectitic"|"15420673"|"12095130"
"mixed"|"15420672"|"12095129"
