"Aquic"|"15420648"|"5435081"
"Aquic"|"15420647"|"5435080"
"Aquic"|"15420646"|"5435079"
"Aquic"|"15420645"|"5435078"
"Aquic"|"15420639"|"5435072"
"Aquic"|"15420638"|"5435071"
"Ustic"|"15420671"|"5435104"
"Aquic"|"15420670"|"5435103"
"Aquic"|"15420669"|"5435102"
"Ustic"|"15420668"|"5435101"
"Ustic"|"15420667"|"5435100"
"Ustic"|"15420666"|"5435099"
"Ustic"|"15420665"|"5435098"
"Ustic"|"15420664"|"5435097"
"Ustic"|"15420663"|"5435096"
"Ustic"|"15420662"|"5435095"
"Aquic"|"15420661"|"5435094"
"Aquic"|"15420660"|"5435093"
"Ustic"|"15420659"|"5435092"
"Ustic"|"15420658"|"5435091"
"Ustic"|"15420657"|"5435090"
"Aquic"|"15420690"|"5435123"
"Ustic"|"15420689"|"5435122"
"Ustic"|"15420688"|"5435121"
"Aquic"|"15420687"|"5435120"
"Ustic"|"15420686"|"5435119"
"Ustic"|"15420685"|"5435118"
"Ustic"|"15420731"|"5435164"
"Aquic"|"15420730"|"5435163"
"Ustic"|"15420729"|"5435162"
"Aquic"|"15420728"|"5435161"
"Aquic"|"15420727"|"5435160"
"Ustic"|"15420726"|"5435159"
"Ustic"|"15420678"|"5435111"
"Ustic"|"15420677"|"5435110"
"Aquic"|"15420676"|"5435109"
"Aquic"|"15420675"|"5435108"
"Ustic"|"15420674"|"5435107"
"Aquic"|"15420673"|"5435106"
"Ustic"|"15420672"|"5435105"
