"2"|"15420675"|"3442880"
"3"|"15420675"|"3442881"
"2"|"15420730"|"3442899"
"3"|"15420730"|"3442900"
"2"|"15420690"|"3442884"
"3"|"15420690"|"3442885"
"2"|"15420589"|"3442826"
"3"|"15420589"|"3442827"
"2"|"15420590"|"3442828"
"2"|"15420610"|"3442837"
"3"|"15420610"|"3442838"
"2"|"15420660"|"3442872"
"3"|"15420660"|"3442873"
"2"|"15420661"|"3442874"
"3"|"15420661"|"3442875"
"2"|"15420669"|"3442876"
"3"|"15420669"|"3442877"
"2"|"15420670"|"3442878"
"3"|"15420670"|"3442879"
"2"|"15420638"|"3442848"
"3"|"15420638"|"3442849"
"2"|"15420639"|"3442850"
"3"|"15420639"|"3442851"
"2"|"15420645"|"3442858"
"3"|"15420645"|"3442859"
"2"|"15420647"|"3442860"
"3"|"15420647"|"3442861"
"2"|"15420648"|"3442862"
"3"|"15420648"|"3442863"
