45|45|75|200|200|200|"Wet"|"161879104"|"100094406"
0|0|0|45|45|75|"Moist"|"161879104"|"100094407"
0|0|0|50|50|80|"Moist"|"161879105"|"100094408"
50|50|80|200|200|200|"Wet"|"161879105"|"100094409"
135|135|165|200|200|200|"Wet"|"161879106"|"100094410"
20|20|40|135|135|165|"Moist"|"161879106"|"100094411"
0|0|0|20|20|40|"Dry"|"161879106"|"100094412"
0|0|0|170|170|200|"Moist"|"161879107"|"100094413"
170|170|200|200|200|200|"Wet"|"161879107"|"100094414"
50|50|70|155|155|185|"Moist"|"161879108"|"100094415"
0|0|0|50|50|70|"Dry"|"161879108"|"100094416"
155|155|185|200|200|200|"Wet"|"161879108"|"100094417"
170|170|200|200|200|200|"Wet"|"161879109"|"100094418"
50|50|70|170|170|200|"Moist"|"161879109"|"100094419"
0|0|0|50|50|70|"Dry"|"161879109"|"100094420"
0|0|0|165|165|195|"Moist"|"161879110"|"100094421"
165|165|195|200|200|200|"Wet"|"161879110"|"100094422"
0|0|0|165|165|195|"Moist"|"161879111"|"100094423"
165|165|195|200|200|200|"Wet"|"161879111"|"100094424"
20|20|40|120|120|150|"Moist"|"161879112"|"100094425"
120|120|150|200|200|200|"Wet"|"161879112"|"100094426"
0|0|0|20|20|40|"Dry"|"161879112"|"100094427"
0|0|0|60|60|90|"Moist"|"161879113"|"100094428"
60|60|90|200|200|200|"Wet"|"161879113"|"100094429"
0|0|0|160|160|190|"Moist"|"161879114"|"100094430"
160|160|190|200|200|200|"Wet"|"161879114"|"100094431"
0|0|0|60|60|90|"Moist"|"161879115"|"100094432"
60|60|90|200|200|200|"Wet"|"161879115"|"100094433"
0|0|0|120|120|150|"Moist"|"161879128"|"100094434"
120|120|150|200|200|200|"Wet"|"161879128"|"100094435"
0|0|0|130|130|160|"Moist"|"161879129"|"100094436"
130|130|160|200|200|200|"Wet"|"161879129"|"100094437"
0|0|0|125|125|155|"Moist"|"161879130"|"100094438"
125|125|155|200|200|200|"Wet"|"161879130"|"100094439"
135|135|165|200|200|200|"Wet"|"161879131"|"100094440"
0|0|0|135|135|165|"Moist"|"161879131"|"100094441"
0|0|45|200|200|200|"Wet"|"161879132"|"100094442"
130|130|160|200|200|200|"Wet"|"161879133"|"100094443"
0|0|0|130|130|160|"Moist"|"161879133"|"100094444"
0|0|45|200|200|200|"Wet"|"161879134"|"100094445"
30|30|60|200|200|200|"Wet"|"161879135"|"100094446"
0|0|0|30|30|60|"Moist"|"161879135"|"100094447"
65|65|95|200|200|200|"Wet"|"161879136"|"100094448"
0|0|0|10|10|20|"Dry"|"161879136"|"100094449"
