"Silty clay"||"88612085"|"90161946"
"Silty clay loam"||"88612084"|"90161945"
"Silt loam"||"88612083"|"90162509"
"Silt loam"||"88612082"|"90161935"
"Clay loam"||"88612081"|"90161776"
"Silty clay loam"||"88612080"|"90161775"
"Clay loam"||"88612079"|"90161937"
"Loam"||"88612078"|"90161774"
"Silt loam"||"88612077"|"90162508"
"Clay"||"88612076"|"90161773"
"Silty clay loam"||"88612075"|"90161772"
"Clay loam"||"88612074"|"90161771"
"Silty clay"||"88612073"|"90161934"
"Silt loam"||"88612072"|"90161770"
"Loam"||"88612071"|"90161933"
"Silty clay loam"||"88612070"|"90162483"
"Loam"||"88612069"|"90161615"
"Clay loam"||"88612068"|"90161614"
"Silt loam"||"88612067"|"90161613"
"Clay loam"||"88612066"|"90161612"
"Silty clay"||"88612065"|"90162482"
"Loam"||"88612064"|"90161611"
"Silty clay loam"||"88612063"|"90161910"
"Clay loam"||"88612062"|"90161909"
"Silty clay loam"||"88612061"|"90162481"
"Silty clay"||"88612060"|"90161746"
"Clay"||"88612059"|"90161745"
"Silty clay"||"88612058"|"90161743"
"Clay"||"88612057"|"90162480"
"Silty clay loam"||"88612056"|"90161908"
"Clay loam"||"88612055"|"90161744"
"Silty clay"||"88612054"|"90162479"
"Clay loam"||"88612053"|"90161609"
"Silty clay loam"||"88612052"|"90161907"
"Clay"||"88612051"|"90161610"
"Silt loam"||"88612050"|"90161608"
"Loam"||"88612049"|"90161607"
"Clay loam"||"88612048"|"90161906"
"Silty clay loam"||"88612047"|"90162477"
"Silty clay"||"88612046"|"90162478"
"Clay loam"||"88612045"|"90161905"
"Clay loam"||"88612044"|"90161742"
"Clay"||"88612043"|"90161741"
"Silty clay"||"88612042"|"90161740"
"Silty clay loam"||"88612041"|"90161739"
"Loam"||"88612040"|"90161904"
"Clay loam"||"88612039"|"90161738"
"Silty clay loam"||"88612038"|"90162476"
"Silty clay"||"88612037"|"90161903"
"Clay loam"||"88612036"|"90162475"
"Silty clay"||"88612035"|"90161604"
"Silty clay loam"||"88612034"|"90161603"
"Clay loam"||"88612033"|"90161606"
"Clay"||"88612032"|"90161605"
"Clay loam"||"88612031"|"90162474"
"Clay"||"88612030"|"90161902"
"Silty clay"||"88612029"|"90162473"
