"CL"|Yes|"44677066"|"84173613"
"CL"|Yes|"44677065"|"84173612"
"CL"|Yes|"44677064"|"84173611"
"CL"|Yes|"44677063"|"84173610"
"CL"|Yes|"44677062"|"84173609"
"CL"|Yes|"44677061"|"84173608"
"CL"|Yes|"44677060"|"84173607"
"CL"|Yes|"44677059"|"84173606"
"CL"|Yes|"44677058"|"84173605"
"CL"|Yes|"44677254"|"84173851"
"ML"|Yes|"44677253"|"84173850"
"CL"|Yes|"44677252"|"84173849"
"CH"|Yes|"44677251"|"84173848"
"CL"|Yes|"44677250"|"84173847"
"CL"|Yes|"44677249"|"84173846"
"ML"|Yes|"44677248"|"84173845"
"CH"|Yes|"44677247"|"84173844"
"CL"|Yes|"44677246"|"84173843"
"CL"|Yes|"44677245"|"84173842"
"CL"|Yes|"44677244"|"84173841"
"CL"|Yes|"44677243"|"84173840"
"CL"|Yes|"44677242"|"84173839"
"CL"|Yes|"44677241"|"84173838"
"CL"|Yes|"44677240"|"84173837"
"CL"|Yes|"44677239"|"84173836"
"CL"|Yes|"44677238"|"84173835"
"ML"|Yes|"44677237"|"84173834"
"CL"|Yes|"44677236"|"84173833"
"ML"|Yes|"44677235"|"84173832"
"CL"|Yes|"44677234"|"84173831"
"CH"|Yes|"44677233"|"84173830"
"CL"|Yes|"44677232"|"84173829"
"ML"|Yes|"44677231"|"84173828"
"CL"|Yes|"44677230"|"84173827"
"CL"|Yes|"44677229"|"84173826"
"CL"|Yes|"44677228"|"84173825"
"CL"|Yes|"44677227"|"84173824"
"CL"|Yes|"44677033"|"84173571"
"CL"|Yes|"44677032"|"84173570"
"CL"|Yes|"44677031"|"84173569"
"CL"|Yes|"44677030"|"84173568"
"CL"|Yes|"44677029"|"84173567"
"CL"|Yes|"44677028"|"84173566"
"CL"|Yes|"44677027"|"84173565"
"SC-SM"|No |"44677026"|"84173561"
"CL"|No |"44677026"|"84173562"
"CL-ML"|No |"44677026"|"84173563"
"SC"|No |"44677026"|"84173564"
"CL-ML"|No |"44677025"|"84173559"
"CL"|No |"44677025"|"84173560"
"SC-SM"|No |"44677024"|"84173555"
"CL"|No |"44677024"|"84173556"
"CL-ML"|No |"44677024"|"84173557"
"SC"|No |"44677024"|"84173558"
"CL"|Yes|"44677023"|"84173554"
"CL"|Yes|"44677022"|"84173553"
"CL"|Yes|"44677021"|"84173552"
"CH"|Yes|"44677020"|"84173551"
"CL"|Yes|"44677019"|"84173550"
"ML"|Yes|"44677018"|"84173549"
"ML"|No |"44677017"|"84173545"
"MH"|No |"44677017"|"84173546"
"CH"|No |"44677017"|"84173547"
"CL"|No |"44677017"|"84173548"
"CH"|No |"44677016"|"84173541"
"MH"|No |"44677016"|"84173542"
"CL"|No |"44677016"|"84173543"
"ML"|No |"44677016"|"84173544"
"CL"|No |"44677015"|"84173539"
"ML"|No |"44677015"|"84173540"
"CH"|No |"44677014"|"84173537"
"CL"|No |"44677014"|"84173538"
"CL"|No |"44677013"|"84173536"
"ML"|No |"44677012"|"84173534"
"CL"|No |"44677012"|"84173535"
"CL"|No |"44677011"|"84173533"
"CL"|Yes|"44677010"|"84173532"
"CL"|Yes|"44677009"|"84173531"
"CL"|Yes|"44677008"|"84173530"
"CL"|Yes|"44677007"|"84173529"
"CL"|Yes|"44677006"|"84173528"
"CL"|No |"44676847"|"84173340"
"CL"|No |"44676846"|"84173338"
"ML"|No |"44676846"|"84173339"
"CL"|No |"44676845"|"84173334"
"ML"|No |"44676845"|"84173335"
"MH"|No |"44676845"|"84173336"
"CH"|No |"44676845"|"84173337"
"CH"|No |"44676844"|"84173332"
"CL"|No |"44676844"|"84173333"
"CL"|Yes|"44676843"|"84173331"
"CH"|Yes|"44676842"|"84173330"
"CH"|Yes|"44676841"|"84173329"
"CH"|Yes|"44676840"|"84173328"
"CL"|Yes|"44676839"|"84173327"
"CL"|Yes|"44676838"|"84173326"
"CL"|Yes|"44676762"|"84173123"
"CL"|Yes|"44676761"|"84173122"
"CL"|Yes|"44676760"|"84173121"
"CL"|No |"44676759"|"84173119"
"CL-ML"|Yes|"44676759"|"84173120"
"CL"|Yes|"44676758"|"84173118"
"CL"|Yes|"44676757"|"84173117"
"CL"|Yes|"44676756"|"84173116"
"CL"|Yes|"44676755"|"84173115"
"CL"|No |"44676754"|"84173113"
"CL-ML"|No |"44676754"|"84173114"
"CL"|No |"44676753"|"84173112"
"CL"|No |"44676752"|"84173111"
"CL"|No |"44676751"|"84173110"
"CH"|No |"44676750"|"84173108"
"CL"|No |"44676750"|"84173109"
"CH"|No |"44676749"|"84173104"
"CL"|No |"44676749"|"84173105"
"MH"|No |"44676749"|"84173106"
"ML"|No |"44676749"|"84173107"
"CL"|No |"44676748"|"84173103"
"CL"|No |"44676747"|"84173101"
"ML"|No |"44676747"|"84173102"
"CL"|No |"44676746"|"84173100"
"CL"|No |"44676745"|"84173098"
"ML"|No |"44676745"|"84173099"
"CL"|No |"44676744"|"84173096"
"ML"|No |"44676744"|"84173097"
"CL"|No |"44676687"|"84172961"
"CL-ML"|No |"44676687"|"84172962"
"CL"|No |"44676686"|"84172960"
"CL"|No |"44676685"|"84172959"
"CL"|No |"44676684"|"84172958"
"CL"|No |"44676683"|"84172957"
"CL"|No |"44676682"|"84172956"
"CL"|No |"44676681"|"84172954"
"CL-ML"|No |"44676681"|"84172955"
"CL"|No |"44676680"|"84172953"
"CL"|No |"44676679"|"84172951"
"ML"|No |"44676679"|"84172952"
"CL"|Yes|"44676678"|"84172950"
"CL"|Yes|"44676677"|"84172949"
"CL"|No |"44676676"|"84172947"
"CH"|No |"44676676"|"84172948"
"CH"|No |"44676675"|"84172945"
"CL"|Yes|"44676675"|"84172946"
"CH"|Yes|"44676674"|"84172941"
"CL"|No |"44676674"|"84172942"
"MH"|No |"44676674"|"84172943"
"ML"|No |"44676674"|"84172944"
"CL"|Yes|"44676673"|"84172940"
"CL-ML"|Yes|"44676672"|"84172937"
"CL"|No |"44676672"|"84172938"
"ML"|No |"44676672"|"84172939"
