X,Y,fid,MEAN_X,MEAN_Y,Time,mean,Keep,Strip
-97.5964125948316,44.0965708958908,1805.00000,-97.59641,44.09657,10/12/2015 9:42:43 PM,163.23414,"1","3"
-97.5970847318314,44.0959206268907,1806.00000,-97.59708,44.09592,10/12/2015 9:00:22 PM,143.71437,"1","11"
-97.5962788578315,44.0964030688907,1809.00000,-97.59628,44.09640,10/12/2015 9:37:33 PM,165.78375,"1","5"
-97.5968535578316,44.0962483048907,1810.00000,-97.59685,44.09625,10/12/2015 9:31:55 PM,142.12527,"1","7"
-97.5976269778315,44.0959286098907,1811.00000,-97.59763,44.09593,10/12/2015 9:00:41 PM,198.86601,"1","11"
-97.5966341938315,44.0965741168908,1812.00000,-97.59663,44.09657,10/12/2015 9:42:35 PM,184.76085,"1","3"
-97.5971786868316,44.0966648088908,1815.00000,-97.59718,44.09666,10/12/2015 9:44:03 PM,170.13310,"1","2"
-97.5983952708315,44.0958570858906,1816.00000,-97.59840,44.09586,10/12/2015 9:03:28 PM,164.57147,"1","12"
-97.5958261898314,44.0963150418907,1817.00000,-97.59583,44.09632,10/12/2015 9:33:05 PM,157.10423,"1","6"
-97.5985334818319,44.0965196368908,1819.00000,-97.59853,44.09652,10/12/2015 9:39:57 PM,188.65931,"1","4"
-97.5975530758316,44.0962592548907,1820.00000,-97.59755,44.09626,10/12/2015 9:31:28 PM,186.54722,"1","7"
-97.5993652548317,44.0966140448908,1821.00000,-97.59937,44.09661,10/12/2015 9:40:57 PM,114.83617,"1","3"
-97.5959039078312,44.0958206978906,1824.00000,-97.59590,44.09582,10/12/2015 9:04:58 PM,172.07405,"1","12"
-97.5970031688316,44.0966624678908,1825.00000,-97.59700,44.09666,10/12/2015 9:43:57 PM,178.32876,"1","2"
-97.5989200428319,44.0961964668907,1826.00000,-97.59892,44.09620,10/12/2015 9:29:24 PM,172.58734,"1","8"
-97.599382661832,44.0965325298908,1829.00000,-97.59938,44.09653,10/12/2015 9:40:26 PM,79.25788,"1","4"
-97.5964618288315,44.0962428108907,1832.00000,-97.59646,44.09624,10/12/2015 9:32:10 PM,109.38658,"1","7"
-97.5974417938317,44.0967521128908,1.00000,-97.59744,44.09675,10/12/2015 9:47:01 PM,152.06966,"1","1"
-97.5987696958316,44.0959447728907,1.00000,-97.59877,44.09594,10/12/2015 9:01:21 PM,184.93284,"1","11"
-97.5984821028319,44.0962725628907,1837.00000,-97.59848,44.09627,10/12/2015 9:30:52 PM,155.43833,"1","7"
-97.5986880628318,44.0962752798907,1838.00000,-97.59869,44.09628,10/12/2015 9:30:44 PM,149.52055,"1","7"
-97.5982229898316,44.0959368498907,1839.00000,-97.59822,44.09594,10/12/2015 9:01:02 PM,163.01628,"1","11"
-97.5961252988312,44.0959070218907,1842.00000,-97.59613,44.09591,10/12/2015 8:59:49 PM,169.38302,"1","11"
-97.5964313368315,44.0958293828906,1849.00000,-97.59643,44.09583,10/12/2015 9:04:39 PM,180.99996,"1","12"
-97.5964501248316,44.0964886178908,1851.00000,-97.59645,44.09649,10/12/2015 9:38:47 PM,173.65521,"1","4"
-97.5959166778315,44.0961520138906,1852.00000,-97.59592,44.09615,10/12/2015 9:24:54 PM,171.24011,"1","8"
-97.5985205018318,44.0967678058908,1.00000,-97.59852,44.09677,10/12/2015 9:46:22 PM,185.07278,"1","1"
-97.5968743318316,44.0960833778906,1.00000,-97.59687,44.09608,10/12/2015 9:23:27 PM,148.96428,"1","9"
-97.5976339388316,44.0965075978908,1856.00000,-97.59763,44.09651,10/12/2015 9:39:27 PM,161.96304,"1","4"
-97.5964041098314,44.0959947638906,1857.00000,-97.59640,44.09599,10/12/2015 9:19:45 PM,177.91320,"1","10"
-97.5961458608316,44.0961559478906,1858.00000,-97.59615,44.09616,10/12/2015 9:25:04 PM,134.96243,"1","8"
-97.5980544968315,44.0959343808907,1860.00000,-97.59805,44.09593,10/12/2015 9:00:56 PM,184.20522,"1","11"
-97.5976397978317,44.0966714098908,1861.00000,-97.59764,44.09667,10/12/2015 9:44:18 PM,154.67093,"1","2"
-97.5988371398317,44.0965244138908,1862.00000,-97.59884,44.09652,10/12/2015 9:40:07 PM,181.41878,"1","4"
-97.5982091578317,44.0966807668908,1863.00000,-97.59821,44.09668,10/12/2015 9:44:37 PM,180.47130,"1","2"
-97.5982121498319,44.0967639778908,1.00000,-97.59821,44.09676,10/12/2015 9:46:33 PM,171.62886,"1","1"
-97.5994011398321,44.0967791808908,1.00000,-97.59940,44.09678,10/12/2015 9:45:50 PM,133.25349,"1","1"
-97.5979811888317,44.0967604898908,1.00000,-97.59798,44.09676,10/12/2015 9:46:41 PM,187.36158,"1","1"
-97.5965431338316,44.0961609908906,1.00000,-97.59654,44.09616,10/12/2015 9:28:00 PM,161.62763,"1","8"
-97.5987426658318,44.0967705678908,1.00000,-97.59874,44.09677,10/12/2015 9:46:14 PM,180.43740,"1","1"
-97.5984509118317,44.0966005708908,1.00000,-97.59845,44.09660,10/12/2015 9:41:30 PM,171.57893,"1","3"
-97.5970221888315,44.0967458558908,1.00000,-97.59702,44.09675,10/12/2015 9:47:16 PM,184.87747,"1","1"
-97.5965057258316,44.0967374958908,1.00000,-97.59651,44.09674,10/12/2015 9:47:35 PM,118.51548,"1","1"
-97.5980153018318,44.0961836098907,1.00000,-97.59802,44.09618,10/12/2015 9:28:53 PM,167.44936,"1","8"
-97.5991618748317,44.0959500558907,1881.00000,-97.59916,44.09595,10/12/2015 9:01:36 PM,159.56776,"1","11"
-97.598799764832,44.0961937168907,1886.00000,-97.59880,44.09619,10/12/2015 9:29:20 PM,167.71888,"1","8"
-97.5990827818316,44.0959489868907,1888.00000,-97.59908,44.09595,10/12/2015 9:01:33 PM,172.09161,"1","11"
-97.5992230858319,44.0961181988906,1889.00000,-97.59922,44.09612,10/12/2015 9:22:01 PM,204.89577,"1","9"
-97.5980081068316,44.0960191238906,1890.00000,-97.59801,44.09602,10/12/2015 9:20:41 PM,181.57183,"1","10"
-97.5983570648318,44.0963523178907,1891.00000,-97.59836,44.09635,10/12/2015 9:34:30 PM,175.87852,"1","6"
-97.5970624138317,44.0964981278908,1893.00000,-97.59706,44.09650,10/12/2015 9:39:08 PM,164.34114,"1","4"
-97.598902809832,44.0966899438908,1895.00000,-97.59890,44.09669,10/12/2015 9:45:00 PM,185.25340,"1","2"
-97.5968397888316,44.0963299688907,1898.00000,-97.59684,44.09633,10/12/2015 9:33:39 PM,169.00707,"1","6"
-97.5992325498318,44.0964478618908,1901.00000,-97.59923,44.09645,10/12/2015 9:35:44 PM,175.34435,"1","5"
-97.5980610998316,44.0958524948906,1902.00000,-97.59806,44.09585,10/12/2015 9:03:40 PM,186.84356,"1","12"
-97.5983796898318,44.0961062088906,1904.00000,-97.59838,44.09611,10/12/2015 9:22:32 PM,170.37029,"1","9"
-97.5975777068316,44.0967542838908,1.00000,-97.59758,44.09675,10/12/2015 9:46:56 PM,164.97453,"1","1"
-97.5982300748317,44.0964329598908,1.00000,-97.59823,44.09643,10/12/2015 9:36:21 PM,174.98801,"1","5"
-97.598585316832,44.0962735858907,1910.00000,-97.59859,44.09627,10/12/2015 9:30:48 PM,145.27947,"1","7"
-97.599324993832,44.0967783268908,1.00000,-97.59932,44.09678,10/12/2015 9:45:53 PM,145.84703,"1","1"
-97.5974772508317,44.0961751318907,1.00000,-97.59748,44.09618,10/12/2015 9:28:34 PM,202.64051,"1","8"
-97.5977905098315,44.0967574288908,1.00000,-97.59779,44.09676,10/12/2015 9:46:48 PM,188.39127,"1","1"
-97.5981491208318,44.0964320428907,1.00000,-97.59815,44.09643,10/12/2015 9:36:24 PM,165.71868,"1","5"
-97.5972437548316,44.0962544518907,1919.00000,-97.59724,44.09625,10/12/2015 9:31:40 PM,189.69402,"1","7"
-97.5969651188314,44.0959189508907,1920.00000,-97.59697,44.09592,10/12/2015 9:00:18 PM,151.22264,"1","11"
-97.5986600498319,44.0964392308908,1922.00000,-97.59866,44.09644,10/12/2015 9:36:05 PM,171.54933,"1","5"
-97.5988187918318,44.0964409808907,1925.00000,-97.59882,44.09644,10/12/2015 9:35:59 PM,177.64887,"1","5"
-97.5987394618318,44.0964398068908,1927.00000,-97.59874,44.09644,10/12/2015 9:36:02 PM,158.19611,"1","5"
-97.5983668548318,44.0965998448908,1929.00000,-97.59837,44.09660,10/12/2015 9:41:33 PM,143.91753,"1","3"
-97.5983008368319,44.0961050788906,1931.00000,-97.59830,44.09611,10/12/2015 9:22:35 PM,171.46584,"1","9"
-97.5972401728317,44.0964182258907,1934.00000,-97.59724,44.09642,10/12/2015 9:36:58 PM,186.41217,"1","5"
-97.5958188118314,44.0962326638907,1937.00000,-97.59582,44.09623,10/12/2015 9:32:33 PM,154.08007,"1","7"
-97.5961123848315,44.0959897118906,1939.00000,-97.59611,44.09599,10/12/2015 9:19:34 PM,189.12052,"1","10"
-97.5993707578319,44.0960387778906,1940.00000,-97.59937,44.09604,10/12/2015 9:21:29 PM,127.10448,"1","10"
