"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Apr"	"4"	0.56
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"May"	"5"	1.14
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Jun"	"6"	2.62
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Jul"	"7"	2.34
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Aug"	"8"	2.50
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Sep"	"9"	1.90
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Oct"	"10"	1.28
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Nov"	"11"	2.18
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1983"	"1983"	"Dec"	"12"	1.55
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Jan"	"1"	0.49
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Feb"	"2"	0.94
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Mar"	"3"	1.45
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Apr"	"4"	1.94
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"May"	"5"	1.78
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Jun"	"6"	3.08
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Jul"	"7"	1.88
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Aug"	"8"	1.85
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Sep"	"9"	0.81
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Oct"	"10"	1.01
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Nov"	"11"	1.50
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1984"	"1984"	"Dec"	"12"	0.81
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Jan"	"1"	0.78
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Feb"	"2"	0.91
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Mar"	"3"	1.58
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Apr"	"4"	0.43
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"May"	"5"	2.00
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Jun"	"6"	0.58
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Jul"	"7"	0.97
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Aug"	"8"	1.31
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Sep"	"9"	2.42
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Oct"	"10"	0.69
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Nov"	"11"	1.44
	"Montana"	"30"	"Beaverhead County, MT"	"30001"	"1985"	"1985"	"Dec"	"12"	0.38
