#Longitude,Latitude,Field,Dataset,Product,Obj. Id,Distance(ft),Swth Wdth(ft),Yld Vol(Dry)(bu/ac),Mark ID,Yld Mass(Wet)(lb/ac),Moisture(%),Desc,Hding Veh(deg)
Longitude,Latitude,Field,Dataset,Product,ObjId,Distance,Swath,Yield,MarkID,YldMassWet,Moisture,Desc,Heading
-97.59975753,44.09573047,Stevens Middle,Stevens Middle-Soybeans,VarB,1,0.897,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59974287,44.09572172,Stevens Middle,Stevens Middle-Soybeans,VarB,2,0.897,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59972821,44.09571297,Stevens Middle,Stevens Middle-Soybeans,VarB,3,0.897,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59971355,44.09570422,Stevens Middle,Stevens Middle-Soybeans,VarB,4,0.897,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59969889,44.09569547,Stevens Middle,Stevens Middle-Soybeans,VarB,5,0.897,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59968423,44.09568672,Stevens Middle,Stevens Middle-Soybeans,VarB,6,0.897,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59966957,44.09567797,Stevens Middle,Stevens Middle-Soybeans,VarB,7,0.897,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:48 PM,38.66
-97.59975775,44.09573160,Stevens Middle,Stevens Middle-Soybeans,VarB,8,1.324,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59974234,44.09572356,Stevens Middle,Stevens Middle-Soybeans,VarB,9,1.324,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59972692,44.09571551,Stevens Middle,Stevens Middle-Soybeans,VarB,10,1.324,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59971151,44.09570746,Stevens Middle,Stevens Middle-Soybeans,VarB,11,1.324,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59969609,44.09569941,Stevens Middle,Stevens Middle-Soybeans,VarB,12,1.324,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59968067,44.09569136,Stevens Middle,Stevens Middle-Soybeans,VarB,13,1.324,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59966526,44.09568331,Stevens Middle,Stevens Middle-Soybeans,VarB,14,1.324,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:48 PM,34.95
-97.59975620,44.09573416,Stevens Middle,Stevens Middle-Soybeans,VarB,15,1.356,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59974053,44.09572637,Stevens Middle,Stevens Middle-Soybeans,VarB,16,1.356,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59972486,44.09571858,Stevens Middle,Stevens Middle-Soybeans,VarB,17,1.356,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59970919,44.09571079,Stevens Middle,Stevens Middle-Soybeans,VarB,18,1.356,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59969352,44.09570300,Stevens Middle,Stevens Middle-Soybeans,VarB,19,1.356,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59967785,44.09569521,Stevens Middle,Stevens Middle-Soybeans,VarB,20,1.356,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59966218,44.09568742,Stevens Middle,Stevens Middle-Soybeans,VarB,21,1.356,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:49 PM,33.63
-97.59975461,44.09573679,Stevens Middle,Stevens Middle-Soybeans,VarB,22,1.422,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59973868,44.09572928,Stevens Middle,Stevens Middle-Soybeans,VarB,23,1.422,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59972275,44.09572177,Stevens Middle,Stevens Middle-Soybeans,VarB,24,1.422,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59970682,44.09571426,Stevens Middle,Stevens Middle-Soybeans,VarB,25,1.422,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59969089,44.09570675,Stevens Middle,Stevens Middle-Soybeans,VarB,26,1.422,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59967495,44.09569924,Stevens Middle,Stevens Middle-Soybeans,VarB,27,1.422,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59965902,44.09569173,Stevens Middle,Stevens Middle-Soybeans,VarB,28,1.422,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:50 PM,32.22
-97.59975175,44.09574170,Stevens Middle,Stevens Middle-Soybeans,VarB,29,2.603,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59973537,44.09573471,Stevens Middle,Stevens Middle-Soybeans,VarB,30,2.603,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59971900,44.09572772,Stevens Middle,Stevens Middle-Soybeans,VarB,31,2.603,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59970262,44.09572072,Stevens Middle,Stevens Middle-Soybeans,VarB,32,2.603,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59968624,44.09571373,Stevens Middle,Stevens Middle-Soybeans,VarB,33,2.603,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59966987,44.09570673,Stevens Middle,Stevens Middle-Soybeans,VarB,34,2.603,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59965349,44.09569974,Stevens Middle,Stevens Middle-Soybeans,VarB,35,2.603,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:51 PM,29.68
-97.59975091,44.09574800,Stevens Middle,Stevens Middle-Soybeans,VarB,36,3.719,5.000,0.00,285,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59973366,44.09574219,Stevens Middle,Stevens Middle-Soybeans,VarB,37,3.719,5.000,0.00,286,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59971641,44.09573639,Stevens Middle,Stevens Middle-Soybeans,VarB,38,3.719,5.000,0.00,287,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59969916,44.09573059,Stevens Middle,Stevens Middle-Soybeans,VarB,39,3.719,5.000,0.00,288,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59968191,44.09572479,Stevens Middle,Stevens Middle-Soybeans,VarB,40,3.719,5.000,0.00,289,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59966466,44.09571899,Stevens Middle,Stevens Middle-Soybeans,VarB,41,3.719,5.000,0.00,290,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59964741,44.09571319,Stevens Middle,Stevens Middle-Soybeans,VarB,42,3.719,5.000,0.00,291,0.00,16.45,9/26/2016 7:06:53 PM,24.04
-97.59975117,44.09575459,Stevens Middle,Stevens Middle-Soybeans,VarB,43,4.112,5.000,61.72,285,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59973309,44.09575030,Stevens Middle,Stevens Middle-Soybeans,VarB,44,4.112,5.000,61.72,286,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59971500,44.09574601,Stevens Middle,Stevens Middle-Soybeans,VarB,45,4.112,5.000,61.72,287,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59969692,44.09574172,Stevens Middle,Stevens Middle-Soybeans,VarB,46,4.112,5.000,61.72,288,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59967884,44.09573744,Stevens Middle,Stevens Middle-Soybeans,VarB,47,4.112,5.000,61.72,289,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59966076,44.09573315,Stevens Middle,Stevens Middle-Soybeans,VarB,48,4.112,5.000,61.72,290,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59964267,44.09572886,Stevens Middle,Stevens Middle-Soybeans,VarB,49,4.112,5.000,61.72,291,3856.5,16.45,9/26/2016 7:06:53 PM,17.24
-97.59975173,44.09576241,Stevens Middle,Stevens Middle-Soybeans,VarB,50,4.408,5.000,52.90,285,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
-97.59973312,44.09575953,Stevens Middle,Stevens Middle-Soybeans,VarB,51,4.408,5.000,52.90,286,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
-97.59971451,44.09575665,Stevens Middle,Stevens Middle-Soybeans,VarB,52,4.408,5.000,52.90,287,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
-97.59969590,44.09575376,Stevens Middle,Stevens Middle-Soybeans,VarB,53,4.408,5.000,52.90,288,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
-97.59967728,44.09575088,Stevens Middle,Stevens Middle-Soybeans,VarB,54,4.408,5.000,52.90,289,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
-97.59965867,44.09574800,Stevens Middle,Stevens Middle-Soybeans,VarB,55,4.408,5.000,52.90,290,3305.6,16.45,9/26/2016 7:06:54 PM,11.15
