"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Avg Daily Precipitation (mm)
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Feb"	"2"	0.87
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Mar"	"3"	0.72
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Apr"	"4"	0.29
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"May"	"5"	0.34
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Jun"	"6"	0.84
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Jul"	"7"	1.49
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Aug"	"8"	0.75
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Sep"	"9"	1.26
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Oct"	"10"	1.15
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Nov"	"11"	0.38
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1983"	"1983"	"Dec"	"12"	0.48
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Jan"	"1"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Feb"	"2"	0.00
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Mar"	"3"	0.78
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Apr"	"4"	0.40
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"May"	"5"	0.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Jun"	"6"	0.71
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Jul"	"7"	0.80
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Aug"	"8"	2.23
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Sep"	"9"	1.39
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Oct"	"10"	2.67
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Nov"	"11"	0.61
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1984"	"1984"	"Dec"	"12"	1.80
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Jan"	"1"	0.87
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Feb"	"2"	0.61
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Mar"	"3"	1.44
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Apr"	"4"	1.84
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"May"	"5"	0.83
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Jun"	"6"	0.57
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Jul"	"7"	1.27
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Aug"	"8"	0.85
	"New Mexico"	"35"	"Bernalillo County, NM"	"35001"	"1985"	"1985"	"Sep"	"9"	2.06
