Site,Country,Loca,Plot,Repe,BLK,Entry,YLD,AD,SD,PH,EH,rEPH,rEPP,nP
7,El Salvador,San Andres,64,2,16,15,4.19,60,62,212,110,0.52,1,50
7,El Salvador,San Andres,65,3,17,16,1.78,60,66,228,135,0.59,0.9,36
7,El Salvador,San Andres,66,3,17,27,4.74,57,60,248,140,0.56,1,48
7,El Salvador,San Andres,67,3,17,8,3.97,57,59,245,150,0.61,0.9,45
7,El Salvador,San Andres,68,3,17,29,3.42,56,58,225,110,0.49,1,40
7,El Salvador,San Andres,69,3,18,13,3.32,59,61,230,135,0.59,1,44
7,El Salvador,San Andres,70,3,18,9,1.52,60,67,210,90,0.43,1,31
7,El Salvador,San Andres,71,3,18,4,4.18,58,59,238,130,0.55,1.1,48
7,El Salvador,San Andres,72,3,18,10,2.63,61,66,245,145,0.59,1.1,33
7,El Salvador,San Andres,73,3,19,5,4.29,57,60,253,160,0.63,1,48
7,El Salvador,San Andres,74,3,19,20,3.94,61,66,255,140,0.55,0.9,46
7,El Salvador,San Andres,75,3,19,6,4.16,58,61,245,140,0.57,1,39
7,El Salvador,San Andres,76,3,19,3,3.6,59,61,232,140,0.6,1,42
7,El Salvador,San Andres,77,3,20,7,4.22,58,60,240,135,0.56,1,47
7,El Salvador,San Andres,78,3,20,18,4.35,58,64,232,115,0.5,0.9,52
7,El Salvador,San Andres,79,3,20,12,3.28,61,64,228,135,0.59,1,47
7,El Salvador,San Andres,80,3,20,1,4.45,58,60,229,124,0.54,1,43
7,El Salvador,San Andres,81,3,21,30,1.88,59,62,205,110,0.54,1,33
7,El Salvador,San Andres,82,3,21,17,5.11,57,60,220,120,0.55,1,50
7,El Salvador,San Andres,83,3,21,14,0.94,62,65,203,105,0.52,1.2,30
7,El Salvador,San Andres,84,3,21,32,1.42,60,65,172,90,0.52,0.9,29
7,El Salvador,San Andres,85,3,22,15,4.31,61,63,240,135,0.56,0.9,50
7,El Salvador,San Andres,86,3,22,2,4.17,57,59,232,125,0.54,1,49
7,El Salvador,San Andres,87,3,22,22,4.62,59,61,238,140,0.59,1,50
7,El Salvador,San Andres,88,3,22,21,1.41,61,65,232,120,0.52,1,34
7,El Salvador,San Andres,89,3,23,19,0.47,62,66,200,110,0.55,0.7,26
7,El Salvador,San Andres,90,3,23,26,3.29,58,60,235,125,0.53,0.9,47
7,El Salvador,San Andres,91,3,23,11,5.18,57,61,250,140,0.56,1,52
7,El Salvador,San Andres,92,3,23,23,0.94,61,68,215,110,0.51,0.8,46
7,El Salvador,San Andres,93,3,24,25,1.88,60,66,220,125,0.57,0.8,43
7,El Salvador,San Andres,94,3,24,28,4.22,57,61,220,125,0.57,0.9,49
7,El Salvador,San Andres,95,3,24,24,3.56,60,63,220,110,0.5,0.9,49
7,El Salvador,San Andres,96,3,24,31,3.6,58,60,216,135,0.63,1,45
8,El Salvador,Santa Cruz,1,1,1,3,7.28,51,51,265,125,0.47,1,25
8,El Salvador,Santa Cruz,2,1,1,10,6.12,53,56,270,130,0.48,1.1,20
8,El Salvador,Santa Cruz,3,1,1,13,7.32,52,53,260,140,0.54,1,27
8,El Salvador,Santa Cruz,4,1,1,23,1.67,54,56,210,110,0.52,1.1,19
8,El Salvador,Santa Cruz,5,1,2,30,5.4,51,51,230,130,0.57,1,21
8,El Salvador,Santa Cruz,6,1,2,18,7.5,53,54,260,130,0.5,1.1,26
8,El Salvador,Santa Cruz,7,1,2,19,1.7,56,57,205,90,0.44,0.9,15
8,El Salvador,Santa Cruz,8,1,2,27,6.83,51,52,260,130,0.5,1.1,25
8,El Salvador,Santa Cruz,9,1,3,5,7.18,50,50,255,140,0.55,1.1,28
8,El Salvador,Santa Cruz,10,1,3,6,7.68,53,58,265,125,0.47,1,25
8,El Salvador,Santa Cruz,11,1,3,29,6.39,51,52,250,130,0.52,1,25
8,El Salvador,Santa Cruz,12,1,3,22,9.06,53,53,275,130,0.47,1,26
8,El Salvador,Santa Cruz,13,1,4,2,7.62,50,50,220,110,0.5,0.8,26
8,El Salvador,Santa Cruz,14,1,4,14,2.81,56,58,210,100,0.48,1,23
8,El Salvador,Santa Cruz,15,1,4,8,8.17,53,53,270,125,0.46,1.6,24
8,El Salvador,Santa Cruz,16,1,4,1,6.27,50,50,260,115,0.44,1,25
8,El Salvador,Santa Cruz,17,1,5,11,7.38,52,53,260,115,0.44,1,23
8,El Salvador,Santa Cruz,18,1,5,28,6.34,52,52,270,140,0.52,1,24
8,El Salvador,Santa Cruz,19,1,5,26,7.2,51,53,250,120,0.48,1,25
8,El Salvador,Santa Cruz,20,1,5,15,7.82,54,53,240,125,0.52,1,26
8,El Salvador,Santa Cruz,21,1,6,16,4.36,54,55,285,150,0.53,1,19
8,El Salvador,Santa Cruz,22,1,6,4,7.3,51,52,255,145,0.57,1,23
8,El Salvador,Santa Cruz,23,1,6,12,7.51,54,54,270,140,0.52,1.1,27
8,El Salvador,Santa Cruz,24,1,6,17,8.13,52,51,250,125,0.5,1,27
8,El Salvador,Santa Cruz,25,1,7,31,6.24,52,52,270,130,0.48,1,24
8,El Salvador,Santa Cruz,26,1,7,24,6.85,53,53,265,145,0.55,1,25
8,El Salvador,Santa Cruz,27,1,7,32,5.53,53,53,270,148,0.55,1.2,18
8,El Salvador,Santa Cruz,28,1,7,20,9.25,54,53,263,115,0.44,1,28
8,El Salvador,Santa Cruz,29,1,8,25,4.43,54,54,250,125,0.5,1.1,24
8,El Salvador,Santa Cruz,30,1,8,7,7.82,51,51,260,90,0.35,1.3,27
8,El Salvador,Santa Cruz,31,1,8,9,4.04,54,55,275,145,0.53,0.9,26
8,El Salvador,Santa Cruz,32,1,8,21,5.04,55,55,245,135,0.55,1,23
8,El Salvador,Santa Cruz,33,2,9,20,6.34,53,53,255,125,0.49,1,24
8,El Salvador,Santa Cruz,34,2,9,22,5.92,52,53,280,140,0.5,1,24
8,El Salvador,Santa Cruz,35,2,9,18,6.81,52,51,280,130,0.46,1,26
8,El Salvador,Santa Cruz,36,2,9,11,7.03,52,52,270,150,0.56,1,24
8,El Salvador,Santa Cruz,37,2,10,15,6.29,53,53,265,135,0.51,0.9,25
8,El Salvador,Santa Cruz,38,2,10,13,8.01,52,53,245,120,0.49,1,24
8,El Salvador,Santa Cruz,39,2,10,12,5.8,54,54,280,170,0.61,1.1,23
8,El Salvador,Santa Cruz,40,2,10,6,8.21,50,50,265,130,0.49,1.1,25
8,El Salvador,Santa Cruz,41,2,11,29,6.39,51,52,260,140,0.54,0.9,27
8,El Salvador,Santa Cruz,42,2,11,9,5.72,51,53,240,110,0.46,0.7,27
8,El Salvador,Santa Cruz,43,2,11,1,7.32,50,51,260,130,0.5,1.1,26
8,El Salvador,Santa Cruz,44,2,11,27,8.88,51,50,290,150,0.52,1.2,26
8,El Salvador,Santa Cruz,45,2,12,19,7.98,53,54,250,105,0.42,0.9,21
8,El Salvador,Santa Cruz,46,2,12,23,3.01,54,54,230,120,0.52,0.9,21
8,El Salvador,Santa Cruz,47,2,12,14,4.57,55,57,220,100,0.45,0.9,25
8,El Salvador,Santa Cruz,48,2,12,28,7.53,53,53,270,155,0.57,0.9,25
8,El Salvador,Santa Cruz,49,2,13,21,5.38,56,56,250,130,0.52,1,22
8,El Salvador,Santa Cruz,50,2,13,4,7.3,52,53,275,145,0.53,0.9,28
8,El Salvador,Santa Cruz,51,2,13,26,6.17,51,52,255,115,0.45,1.2,19
8,El Salvador,Santa Cruz,52,2,13,2,7.96,51,51,260,125,0.48,1.3,26
8,El Salvador,Santa Cruz,53,2,14,10,7.14,53,55,290,170,0.59,0.9,26
8,El Salvador,Santa Cruz,54,2,14,5,8.04,52,52,280,135,0.48,1.4,25
8,El Salvador,Santa Cruz,55,2,14,32,4.84,53,55,290,155,0.53,1.1,15
8,El Salvador,Santa Cruz,56,2,14,7,7.99,52,51,270,135,0.5,1.2,26
8,El Salvador,Santa Cruz,57,2,15,16,4.7,54,54,250,130,0.52,1,21
8,El Salvador,Santa Cruz,58,2,15,24,6.16,53,53,250,132,0.53,1.1,23
8,El Salvador,Santa Cruz,59,2,15,3,7.63,52,52,265,140,0.53,1.1,25
8,El Salvador,Santa Cruz,60,2,15,8,7.99,52,52,320,158,0.49,1.4,23
8,El Salvador,Santa Cruz,61,2,16,25,3.75,54,56,278,145,0.52,1,22
8,El Salvador,Santa Cruz,62,2,16,17,7.79,52,53,278,130,0.47,1,24
8,El Salvador,Santa Cruz,63,2,16,30,7.43,52,52,270,185,0.69,1.1,23
8,El Salvador,Santa Cruz,64,2,16,31,7.28,52,52,290,153,0.53,1,24
8,El Salvador,Santa Cruz,65,3,17,16,5.37,54,55,250,135,0.54,1,23
8,El Salvador,Santa Cruz,66,3,17,19,2.38,54,55,235,100,0.43,1,22
8,El Salvador,Santa Cruz,67,3,17,29,7.74,50,50,270,155,0.57,1.2,26
8,El Salvador,Santa Cruz,68,3,17,31,5.55,53,53,285,155,0.54,0.8,24
8,El Salvador,Santa Cruz,69,3,18,20,7.53,54,54,285,145,0.51,1,23
8,El Salvador,Santa Cruz,70,3,18,9,5.72,53,55,268,120,0.45,1,24
8,El Salvador,Santa Cruz,71,3,18,6,9.08,52,53,270,145,0.54,1,27
8,El Salvador,Santa Cruz,72,3,18,2,8.66,49,50,300,140,0.47,1.1,26
8,El Salvador,Santa Cruz,73,3,19,17,6.43,50,50,285,130,0.46,1.2,20
8,El Salvador,Santa Cruz,74,3,19,8,6.6,52,52,277,140,0.51,1.3,23
8,El Salvador,Santa Cruz,75,3,19,22,6.27,53,53,290,140,0.48,1,23
8,El Salvador,Santa Cruz,76,3,19,15,5.95,53,53,255,125,0.49,1,24
8,El Salvador,Santa Cruz,77,3,20,5,7.18,52,52,270,145,0.54,1.3,25
8,El Salvador,Santa Cruz,78,3,20,30,5.07,52,52,250,145,0.58,0.7,25
8,El Salvador,Santa Cruz,79,3,20,13,7.66,53,53,255,135,0.53,1,25
8,El Salvador,Santa Cruz,80,3,20,21,5.55,54,55,260,155,0.6,1,21
8,El Salvador,Santa Cruz,81,3,21,18,6.47,53,53,285,140,0.49,1,22
8,El Salvador,Santa Cruz,82,3,21,28,6.51,53,53,288,140,0.49,1,27
8,El Salvador,Santa Cruz,83,3,21,7,6.6,49,50,280,144,0.51,1.1,25
8,El Salvador,Santa Cruz,84,3,21,24,7.53,52,53,270,140,0.52,1,25
8,El Salvador,Santa Cruz,85,3,22,4,6.26,50,51,280,145,0.52,1.1,21
8,El Salvador,Santa Cruz,86,3,22,11,8.78,52,52,287,148,0.52,1.4,25
8,El Salvador,Santa Cruz,87,3,22,25,3.41,51,51,258,145,0.56,1.1,15
8,El Salvador,Santa Cruz,88,3,22,23,2.68,54,51,265,135,0.51,1.1,18
8,El Salvador,Santa Cruz,89,3,23,27,7.51,52,51,265,150,0.57,1,24
8,El Salvador,Santa Cruz,90,3,23,14,2.81,54,56,230,105,0.46,0.7,24
8,El Salvador,Santa Cruz,91,3,23,12,6.48,55,54,270,140,0.52,1,26
8,El Salvador,Santa Cruz,92,3,23,10,7.99,53,54,280,140,0.5,1,24
8,El Salvador,Santa Cruz,93,3,24,1,8.53,51,52,270,130,0.48,1,26
8,El Salvador,Santa Cruz,94,3,24,3,8.49,52,53,270,150,0.56,1.2,25
8,El Salvador,Santa Cruz,95,3,24,26,6.86,50,52,268,100,0.37,1,25
8,El Salvador,Santa Cruz,96,3,24,32,5.36,52,52,260,145,0.56,1.1,16
9,Colombia,Palmira ,1,1,1,26,9.61,59,60,245,105,0.43,1.1,60
9,Colombia,Palmira ,2,1,1,22,8.82,63,64,255,130,0.51,1,62
9,Colombia,Palmira ,3,1,1,23,5.06,63,64,235,105,0.45,0.7,64
9,Colombia,Palmira ,4,1,1,3,8.53,62,62,265,125,0.47,0.9,58
9,Colombia,Palmira ,5,1,2,2,8.48,59,60,240,110,0.46,1,57
9,Colombia,Palmira ,6,1,2,16,8.12,62,63,260,140,0.54,0.9,58
9,Colombia,Palmira ,7,1,2,7,7.25,59,60,255,140,0.55,1.1,51
9,Colombia,Palmira ,8,1,2,6,7.81,60,61,270,140,0.52,0.9,60
9,Colombia,Palmira ,9,1,3,25,7.43,66,67,250,135,0.54,0.9,57
9,Colombia,Palmira ,10,1,3,19,4.52,67,67,225,95,0.42,0.8,59
9,Colombia,Palmira ,11,1,3,27,9.94,62,62,250,130,0.52,0.9,61
9,Colombia,Palmira ,12,1,3,20,6.54,67,67,250,120,0.48,0.8,61
9,Colombia,Palmira ,13,1,4,17,8.5,61,63,250,115,0.46,0.9,56
9,Colombia,Palmira ,14,1,4,13,8.52,62,62,270,135,0.5,0.8,58
9,Colombia,Palmira ,15,1,4,9,7.9,67,67,260,120,0.46,0.8,63
9,Colombia,Palmira ,16,1,4,11,10.52,64,64,250,140,0.56,1,59
9,Colombia,Palmira ,17,1,5,8,10.24,62,62,265,130,0.49,1.2,44
9,Colombia,Palmira ,18,1,5,10,10.59,67,67,260,115,0.44,0.9,60
9,Colombia,Palmira ,19,1,5,30,7.28,62,63,260,150,0.58,0.8,57
9,Colombia,Palmira ,20,1,5,5,9.06,64,64,270,140,0.52,0.8,61
9,Colombia,Palmira ,21,1,6,29,7.88,68,68,245,130,0.53,0.8,58
9,Colombia,Palmira ,22,1,6,32,9.21,63,63,230,100,0.43,1,60
9,Colombia,Palmira ,23,1,6,24,6.83,64,64,250,125,0.5,0.8,56
9,Colombia,Palmira ,24,1,6,18,9.88,62,63,250,105,0.42,0.8,54
9,Colombia,Palmira ,25,1,7,4,9.42,60,60,260,145,0.56,0.9,57
9,Colombia,Palmira ,26,1,7,1,9.08,63,63,270,130,0.48,1,57
9,Colombia,Palmira ,27,1,7,12,8.85,64,65,265,130,0.49,1,55
9,Colombia,Palmira ,28,1,7,21,6.77,68,68,255,140,0.55,0.7,59
9,Colombia,Palmira ,29,1,8,28,8.87,66,67,265,145,0.55,0.9,60
9,Colombia,Palmira ,30,1,8,15,8.22,64,65,265,130,0.49,0.9,55
9,Colombia,Palmira ,31,1,8,14,5.88,64,65,230,105,0.46,0.8,53
9,Colombia,Palmira ,32,1,8,31,10.33,63,63,215,110,0.51,1,56
9,Colombia,Palmira ,33,2,9,26,10.73,61,61,260,130,0.5,1,57
9,Colombia,Palmira ,34,2,9,9,9.29,64,65,270,115,0.43,0.9,57
9,Colombia,Palmira ,35,2,9,4,10.39,62,62,270,145,0.54,1.1,54
9,Colombia,Palmira ,36,2,9,15,8.14,64,65,245,120,0.49,0.9,62
9,Colombia,Palmira ,37,2,10,8,11.43,62,62,270,140,0.52,1.1,59
9,Colombia,Palmira ,38,2,10,25,7.92,64,65,260,130,0.5,0.8,57
9,Colombia,Palmira ,39,2,10,21,6.95,66,66,245,130,0.53,0.8,61
9,Colombia,Palmira ,40,2,10,7,9.55,61,61,265,145,0.55,1.1,62
9,Colombia,Palmira ,41,2,11,5,10.19,62,63,280,160,0.57,1,53
9,Colombia,Palmira ,42,2,11,28,9.16,66,66,270,135,0.5,0.8,68
9,Colombia,Palmira ,43,2,11,2,9.79,60,60,260,130,0.5,0.9,63
9,Colombia,Palmira ,44,2,11,22,9.94,66,66,260,140,0.54,0.9,60
9,Colombia,Palmira ,45,2,12,30,7.31,64,65,260,125,0.48,0.8,51
9,Colombia,Palmira ,46,2,12,19,5.39,65,66,255,120,0.47,0.8,62
9,Colombia,Palmira ,47,2,12,32,10.34,66,66,230,110,0.48,0.8,68
9,Colombia,Palmira ,48,2,12,23,7.16,65,66,210,100,0.48,0.9,54
9,Colombia,Palmira ,49,2,13,11,7.57,63,63,265,135,0.51,0.9,63
9,Colombia,Palmira ,50,2,13,6,8.88,61,61,255,110,0.43,1,58
9,Colombia,Palmira ,51,2,13,3,9.54,62,63,270,145,0.54,0.9,63
9,Colombia,Palmira ,52,2,13,27,9.67,61,62,260,135,0.52,0.8,61
9,Colombia,Palmira ,53,2,14,29,7.13,68,68,270,170,0.63,0.9,58
9,Colombia,Palmira ,54,2,14,20,7.36,62,63,240,110,0.46,1,60
9,Colombia,Palmira ,55,2,14,12,8.39,63,64,250,135,0.54,0.9,58
9,Colombia,Palmira ,56,2,14,14,4.56,68,68,220,90,0.41,1,53
9,Colombia,Palmira ,57,2,15,17,7,62,62,275,155,0.56,0.9,57
9,Colombia,Palmira ,58,2,15,1,7.53,62,62,270,115,0.43,0.9,58
9,Colombia,Palmira ,59,2,15,24,5.59,64,64,245,120,0.49,0.9,58
9,Colombia,Palmira ,60,2,15,10,7.61,67,67,250,125,0.5,0.8,67
9,Colombia,Palmira ,61,2,16,31,7.53,66,67,230,110,0.48,1,59
9,Colombia,Palmira ,62,2,16,18,8.49,64,64,270,140,0.52,1,51
9,Colombia,Palmira ,63,2,16,16,4.37,67,67,240,125,0.52,0.7,67
9,Colombia,Palmira ,64,2,16,13,7.07,61,62,245,125,0.51,0.9,61
9,Colombia,Palmira ,65,3,17,24,8.17,62,63,260,125,0.48,0.8,59
9,Colombia,Palmira ,66,3,17,26,9.21,61,62,270,125,0.46,1,56
9,Colombia,Palmira ,67,3,17,7,7.6,59,59,260,120,0.46,0.9,61
9,Colombia,Palmira ,68,3,17,13,8.24,61,62,250,130,0.52,0.9,61
9,Colombia,Palmira ,69,3,18,20,6.07,64,65,270,130,0.48,0.9,56
9,Colombia,Palmira ,70,3,18,9,7.8,64,65,245,110,0.45,0.8,60
9,Colombia,Palmira ,71,3,18,5,9.52,61,61,280,140,0.5,0.9,56
9,Colombia,Palmira ,72,3,18,3,7.43,62,62,265,130,0.49,0.9,63
9,Colombia,Palmira ,73,3,19,8,8.94,62,63,270,145,0.54,0.9,62
9,Colombia,Palmira ,74,3,19,1,7.22,62,62,280,140,0.5,1,66
9,Colombia,Palmira ,75,3,19,11,7.23,62,63,290,160,0.55,0.9,63
9,Colombia,Palmira ,76,3,19,14,2.69,68,68,210,105,0.5,0.6,55
9,Colombia,Palmira ,77,3,20,27,11.08,63,63,260,135,0.52,1,66
9,Colombia,Palmira ,78,3,20,31,8.05,64,64,250,120,0.48,0.9,58
9,Colombia,Palmira ,79,3,20,10,9.45,67,67,270,145,0.54,0.8,59
9,Colombia,Palmira ,80,3,20,2,8.78,60,60,245,100,0.41,0.9,58
9,Colombia,Palmira ,81,3,21,32,9.39,64,64,255,135,0.53,1,59
9,Colombia,Palmira ,82,3,21,4,8.89,60,62,270,160,0.59,1,56
9,Colombia,Palmira ,83,3,21,6,10.31,62,62,260,130,0.5,0.9,58
9,Colombia,Palmira ,84,3,21,25,8.34,64,64,260,130,0.5,0.9,62
9,Colombia,Palmira ,85,3,22,29,8.26,68,68,240,130,0.54,0.8,62
9,Colombia,Palmira ,86,3,22,17,10.84,60,61,240,115,0.48,1,62
9,Colombia,Palmira ,87,3,22,19,4.65,64,64,230,110,0.48,0.7,63
9,Colombia,Palmira ,88,3,22,28,6.88,67,67,270,150,0.56,0.6,63
9,Colombia,Palmira ,89,3,23,12,7.99,63,63,260,120,0.46,0.9,49
9,Colombia,Palmira ,90,3,23,16,9.66,65,65,265,130,0.49,1,46
9,Colombia,Palmira ,91,3,23,23,6.08,66,66,230,115,0.5,0.7,58
9,Colombia,Palmira ,92,3,23,15,6.79,63,63,240,130,0.54,0.8,63
9,Colombia,Palmira ,93,3,24,22,11.41,63,63,275,140,0.51,0.9,60
9,Colombia,Palmira ,94,3,24,18,9.52,65,65,270,140,0.52,0.9,56
9,Colombia,Palmira ,95,3,24,30,6.12,65,65,275,155,0.56,0.7,59
9,Colombia,Palmira ,96,3,24,21,6.44,67,67,265,140,0.53,0.8,56
12,Guatemala,Sabana ,1,1,1,7,0.69,69,69,140,50,0.36,0.4,50
12,Guatemala,Sabana ,2,1,1,17,0.51,69,71,145,60,0.41,0.6,47
12,Guatemala,Sabana ,3,1,1,15,0.94,71,72,135,60,0.44,0.5,43
12,Guatemala,Sabana ,4,1,1,27,0.96,70,72,130,55,0.42,0.6,45
12,Guatemala,Sabana ,5,1,2,16,0.51,71,72,145,60,0.41,0.4,46
12,Guatemala,Sabana ,6,1,2,23,1.2,73,74,130,50,0.38,0.4,38
12,Guatemala,Sabana ,7,1,2,21,1.1,69,70,145,55,0.38,0.6,35
12,Guatemala,Sabana ,8,1,2,8,0.17,69,69,160,60,0.38,0.7,40
12,Guatemala,Sabana ,9,1,3,4,0.69,71,72,145,70,0.48,0.5,37
12,Guatemala,Sabana ,10,1,3,10,0.92,74,75,120,45,0.38,0.3,49
12,Guatemala,Sabana ,11,1,3,24,1.3,73,74,135,65,0.48,0.4,34
12,Guatemala,Sabana ,12,1,3,19,0.74,73,73,150,65,0.43,0.3,41
12,Guatemala,Sabana ,13,1,4,11,0.68,78,73,120,60,0.5,0.3,52
12,Guatemala,Sabana ,14,1,4,29,1.3,69,71,145,70,0.48,0.4,43
12,Guatemala,Sabana ,15,1,4,6,1.29,68,70,135,65,0.48,0.5,44
12,Guatemala,Sabana ,16,1,4,28,0.67,72,73,140,60,0.43,0.5,37
12,Guatemala,Sabana ,17,1,5,5,0.69,73,73,155,70,0.45,0.7,39
12,Guatemala,Sabana ,18,1,5,32,0.95,73,74,140,45,0.32,0.6,40
12,Guatemala,Sabana ,19,1,5,30,0.78,74,75,110,40,0.36,0.6,40
12,Guatemala,Sabana ,20,1,5,3,1.28,68,68,115,60,0.52,0.8,36
12,Guatemala,Sabana ,21,1,6,1,1.34,68,70,145,55,0.38,0.7,44
12,Guatemala,Sabana ,22,1,6,18,1.12,70,71,150,55,0.37,0.6,45
12,Guatemala,Sabana ,23,1,6,25,0.58,71,72,135,40,0.3,0.5,47
12,Guatemala,Sabana ,24,1,6,31,0.45,73,74,135,45,0.33,0.5,42
12,Guatemala,Sabana ,25,1,7,14,0.18,75,76,140,55,0.39,0.3,52
12,Guatemala,Sabana ,26,1,7,13,0.77,75,76,95,40,0.42,0.5,51
12,Guatemala,Sabana ,27,1,7,12,0.86,74,76,105,50,0.48,0.6,39
12,Guatemala,Sabana ,28,1,7,22,1.44,70,71,110,55,0.5,0.5,50
12,Guatemala,Sabana ,29,1,8,26,1.75,69,71,135,60,0.44,0.6,51
12,Guatemala,Sabana ,30,1,8,20,1.8,73,74,135,50,0.37,0.8,42
12,Guatemala,Sabana ,31,1,8,9,0.6,71,72,145,60,0.41,0.5,42
12,Guatemala,Sabana ,32,1,8,2,0.93,67,67,140,65,0.46,0.8,35
12,Guatemala,Sabana ,33,2,9,7,0.78,69,69,125,40,0.32,0.5,42
12,Guatemala,Sabana ,34,2,9,22,1.52,70,71,135,40,0.3,0.7,41
12,Guatemala,Sabana ,35,2,9,26,1.83,69,71,140,55,0.39,0.6,54
12,Guatemala,Sabana ,36,2,9,19,0.66,73,73,140,50,0.36,0.5,51
12,Guatemala,Sabana ,37,2,10,29,1.21,69,71,135,50,0.37,0.4,49
12,Guatemala,Sabana ,38,2,10,32,0.95,73,74,140,45,0.32,0.5,47
12,Guatemala,Sabana ,39,2,10,1,0.55,68,70,150,40,0.27,0.4,41
12,Guatemala,Sabana ,40,2,10,17,1.63,69,71,135,35,0.26,0.8,41
12,Guatemala,Sabana ,41,2,11,12,0.77,74,76,140,50,0.36,0.6,48
12,Guatemala,Sabana ,42,2,11,28,1.67,72,73,130,35,0.27,0.7,50
12,Guatemala,Sabana ,43,2,11,27,1.6,70,72,130,45,0.35,0.9,41
12,Guatemala,Sabana ,44,2,11,8,1.38,69,69,145,50,0.34,0.7,50
12,Guatemala,Sabana ,45,2,12,18,1.73,70,71,140,55,0.39,0.7,45
12,Guatemala,Sabana ,46,2,12,13,1.54,75,76,145,50,0.34,0.9,38
12,Guatemala,Sabana ,47,2,12,9,0.69,71,72,145,55,0.38,0.6,42
12,Guatemala,Sabana ,48,2,12,30,0.95,74,75,150,40,0.27,0.6,47
12,Guatemala,Sabana ,49,2,13,21,0.93,69,70,130,45,0.35,0.6,32
12,Guatemala,Sabana ,50,2,13,20,1.45,73,74,150,45,0.3,0.8,40
12,Guatemala,Sabana ,51,2,13,31,0.36,73,74,155,50,0.32,0.4,45
12,Guatemala,Sabana ,52,2,13,6,0.97,68,70,140,45,0.32,0.9,39
12,Guatemala,Sabana ,53,2,14,23,0.43,73,74,135,40,0.3,0.4,40
12,Guatemala,Sabana ,54,2,14,24,1.47,73,74,140,35,0.25,0.5,51
12,Guatemala,Sabana ,55,2,14,2,1.52,67,67,135,35,0.26,1,49
12,Guatemala,Sabana ,56,2,14,5,0.95,73,73,140,40,0.29,0.6,50
12,Guatemala,Sabana ,57,2,15,25,0.75,71,72,150,40,0.27,0.4,47
12,Guatemala,Sabana ,58,2,15,10,0.92,74,75,155,55,0.35,0.6,43
12,Guatemala,Sabana ,59,2,15,16,0.85,71,72,150,50,0.33,0.7,41
12,Guatemala,Sabana ,60,2,15,15,1.03,71,72,135,45,0.33,0.6,48
12,Guatemala,Sabana ,61,2,16,14,0.35,75,76,140,55,0.39,0.4,47
12,Guatemala,Sabana ,62,2,16,3,0.85,68,68,140,50,0.36,0.5,52
12,Guatemala,Sabana ,63,2,16,4,1.63,71,72,145,40,0.28,0.9,39
12,Guatemala,Sabana ,64,2,16,11,2.39,78,73,135,40,0.3,0.9,46
12,Guatemala,Sabana ,65,3,17,30,0.78,74,75,145,50,0.34,0.5,42
12,Guatemala,Sabana ,66,3,17,1,0.87,68,70,135,50,0.37,0.5,48
12,Guatemala,Sabana ,67,3,17,8,1.12,69,69,140,55,0.39,0.6,52
12,Guatemala,Sabana ,68,3,17,7,1.3,69,69,155,60,0.39,0.9,39
12,Guatemala,Sabana ,69,3,18,19,0.83,73,73,160,60,0.38,0.4,53
12,Guatemala,Sabana ,70,3,18,18,1.3,70,71,155,60,0.39,1.1,34
12,Guatemala,Sabana ,71,3,18,15,1.46,71,72,145,50,0.34,1.2,32
12,Guatemala,Sabana ,72,3,18,6,1.78,68,70,145,45,0.31,0.7,41
12,Guatemala,Sabana ,73,3,19,31,0.72,73,74,150,45,0.3,0.5,48
12,Guatemala,Sabana ,74,3,19,12,2.06,74,76,150,50,0.33,0.8,53
12,Guatemala,Sabana ,75,3,19,4,1.81,71,72,140,35,0.25,0.9,45
12,Guatemala,Sabana ,76,3,19,9,1.72,71,72,135,40,0.3,0.4,48
12,Guatemala,Sabana ,77,3,20,23,1.89,73,74,140,45,0.32,0.4,50
12,Guatemala,Sabana ,78,3,20,28,2.17,72,73,140,45,0.32,0.8,39
12,Guatemala,Sabana ,79,3,20,14,1.95,75,76,145,50,0.34,0.5,47
12,Guatemala,Sabana ,80,3,20,25,2,71,72,145,55,0.38,0.7,49
12,Guatemala,Sabana ,81,3,21,17,2.48,69,71,150,55,0.37,1,43
12,Guatemala,Sabana ,82,3,21,2,0.85,67,67,145,50,0.34,0.6,41
12,Guatemala,Sabana ,83,3,21,21,0.93,69,70,140,45,0.32,0.7,43
12,Guatemala,Sabana ,84,3,21,11,2.39,78,73,145,55,0.38,0.8,51
12,Guatemala,Sabana ,85,3,22,24,0.86,73,74,155,60,0.39,0.6,47
12,Guatemala,Sabana ,86,3,22,13,0.94,75,76,145,50,0.34,0.7,39
12,Guatemala,Sabana ,87,3,22,32,1.12,73,74,145,55,0.38,0.8,40
12,Guatemala,Sabana ,88,3,22,16,0.68,71,72,135,40,0.3,0.4,49
12,Guatemala,Sabana ,89,3,23,3,1.7,68,68,140,40,0.29,1,50
12,Guatemala,Sabana ,90,3,23,10,1.17,74,75,155,60,0.39,0.5,47
12,Guatemala,Sabana ,91,3,23,29,1.3,69,71,155,55,0.35,0.5,45
12,Guatemala,Sabana ,92,3,23,26,1,69,71,140,45,0.32,0.6,52
12,Guatemala,Sabana ,93,3,24,5,0.86,73,73,150,55,0.37,0.8,46
12,Guatemala,Sabana ,94,3,24,22,1.1,70,71,145,50,0.34,0.8,41
